user_pseudo_id,traffic_source,traffic_medium,traffic_campaign,sessions,page_views,product_views,add_to_carts,checkouts,shipping_info,payment_info,purchases,revenue
11225547.4055754407,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
28173788.8841618556,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
41389902.3627769867,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
1732568.2579709927,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
75729703.0491043628,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
31669832.1934354262,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
6791886.6305434731,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
5257324.5141580695,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
52305243.0660657703,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
77699572.0907149764,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
1364482.2238507248,(direct),(none),(direct),2,0,0,0,0,0,0,0,0
5760429.8116230734,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
34976830.2695223782,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
1106844.3789913643,(direct),(none),(direct),1,0,0,0,0,0,0,0,0
24810152.6882050339,<Other>,<Other>,<Other>,0,0,2,0,0,0,0,0,0
1399765.4837016459,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
68277617.4796246215,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
3647616.5437590087,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
60337048.5295486688,<Other>,<Other>,<Other>,1,0,6,0,0,0,0,0,0
46639647.2571165321,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
39822580.1522139963,<Other>,<Other>,<Other>,1,0,2,0,0,0,0,0,0
2857915009.9110049433,<Other>,<Other>,<Other>,1,0,1,0,0,0,0,0,0
5023374.4068081765,<Other>,<Other>,<Other>,0,0,1,0,0,0,0,0,0
7980612.7684862457,<Other>,<Other>,<Other>,2,0,0,0,0,0,0,0,0
8957315430.0613721043,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
4465616.3005325623,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
1572640.1481727864,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
36221982.4044357579,<Other>,<Other>,<Other>,1,0,1,0,0,0,0,0,0
8832725.3996023484,<Other>,<Other>,<Other>,1,0,1,0,0,0,0,0,0
23808008.1880191878,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
7526675.9996810459,<Other>,<Other>,<Other>,1,0,0,0,0,0,0,0,0
74671088.8252685741,google,cpc,<Other>,1,0,0,0,0,0,0,0,0
5648087.9739643640,google,cpc,<Other>,1,0,0,0,0,0,0,0,0
69569805.2949965984,google,cpc,<Other>,1,0,1,0,0,0,0,0,0
43531941.7574414290,google,cpc,<Other>,2,0,0,0,0,0,0,0,0
92830531.8020291121,google,cpc,<Other>,2,0,3,0,0,0,0,0,0
87343596.4654266593,google,cpc,<Other>,1,0,0,0,0,0,0,0,0
1821076.6629311325,google,cpc,<Other>,1,0,0,0,0,0,0,0,0
42549856.4582319712,google,organic,(organic),1,0,0,0,0,0,0,0,0
8801717.0689325187,google,organic,(organic),1,0,0,0,0,0,0,0,0
20711422.9422071133,google,organic,(organic),1,0,0,0,0,0,0,0,0
83689321.2268664928,google,organic,(organic),1,0,0,0,0,0,0,0,0
5926749.9463613448,google,organic,(organic),1,0,0,0,0,0,0,0,0
12621690.6031463269,google,organic,(organic),1,0,0,0,0,0,0,0,0
1846868406.4349171323,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
2019633.1104657388,google,organic,(organic),1,0,0,0,0,0,0,0,0
3393594.6420439733,google,organic,(organic),0,0,1,0,0,0,0,0,0
80612117.6486109151,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
85038142.5639882863,google,organic,(organic),1,0,0,0,0,0,0,0,0
4124875.4851144741,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
40009389.1184822103,google,organic,(organic),1,0,0,0,0,0,0,0,0
5175895.4609154601,google,organic,(organic),0,0,1,0,0,0,0,0,0
62920538.5330023487,google,organic,(organic),1,0,0,0,0,0,0,0,0
4022815.0936856213,google,organic,(organic),1,0,0,0,0,0,0,0,0
6698680.3138221735,google,organic,(organic),1,0,0,0,0,0,0,0,0
4623355.6908542447,google,organic,(organic),1,0,0,0,0,0,0,0,0
6000269.0600214825,google,organic,(organic),1,0,0,0,0,0,0,0,0
8256321.7602197116,google,organic,(organic),1,0,0,0,0,0,0,0,0
8436909.2306482848,google,organic,(organic),1,0,0,0,0,0,0,0,0
28753142.7579815367,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
4764915.3412981250,google,organic,(organic),1,0,0,1,0,0,0,0,0
4693803.4172734185,google,organic,(organic),1,0,0,0,0,0,0,0,0
37778093.4104211395,google,organic,(organic),1,0,0,0,0,0,0,0,0
4760114.0008324806,google,organic,(organic),1,0,0,0,0,0,0,0,0
2829779.4498643251,google,organic,(organic),2,0,0,0,0,0,0,0,0
3504989.3982252824,google,organic,(organic),0,0,1,0,0,0,0,0,0
33485676.8290468021,google,organic,(organic),1,0,0,0,0,0,0,0,0
39465415.0855054518,google,organic,(organic),1,0,0,0,0,0,0,0,0
15931774.4136335448,google,organic,(organic),1,0,0,0,0,0,0,0,0
52843969.7320135447,google,organic,(organic),1,0,0,0,0,0,0,0,0
4703812.5119100032,google,organic,(organic),1,0,0,0,0,0,0,0,0
81229609.5722218249,google,organic,(organic),1,0,0,0,0,0,0,0,0
66983202.9432633541,google,organic,(organic),1,0,0,0,0,0,0,0,0
53996208.8938824100,google,organic,(organic),1,0,0,0,0,0,0,0,0
77259226.0616991640,google,organic,(organic),1,0,0,0,0,0,0,0,0
5395754.3866267706,google,organic,(organic),1,0,0,0,0,0,0,0,0
4289195.6997534298,google,organic,(organic),1,0,0,0,0,0,0,0,0
11599771.9767926165,google,organic,(organic),0,0,1,0,0,0,0,0,0
83493567.9120914519,google,organic,(organic),1,0,1,0,0,0,0,0,0
27431716.5710381131,<Other>,organic,(organic),1,0,2,0,0,0,0,0,0
83217218.7522348234,google,organic,(organic),1,0,0,0,0,0,0,0,0
34127256.1618496945,google,organic,(organic),1,0,0,0,0,0,0,0,0
33074350.8142049888,google,organic,(organic),0,0,5,0,0,0,0,0,0
71689789.4754766435,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
3234951.0251758971,google,organic,(organic),1,0,0,0,0,0,0,0,0
1325016.0598136202,google,organic,(organic),1,0,0,0,0,0,0,0,0
8749163.8828805967,<Other>,organic,(organic),1,0,0,0,0,0,0,0,0
2450881.0373629766,google,organic,(organic),1,0,0,0,0,0,0,0,0
8314584.3309663732,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
90310505.2004568159,shop.googlemerchandisestore.com,referral,(referral),0,0,1,0,0,0,0,0,0
59968624.0050154952,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
2811966.0328306318,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
4377663.4021743005,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
2795433.3148186337,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
61683444.1482319110,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
64909001.9757017181,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
73891793.7062210676,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
4851798.3121539257,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
35658140.4695898470,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
7703644.3969899355,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
8477590.2403414916,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
8097610.1026070787,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
48806682.6719412476,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
73014210.6489095434,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
5425255.5159657383,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
2686076.8025865026,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
54883529.9617136025,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
19584306.7144534916,shop.googlemerchandisestore.com,referral,(referral),2,0,0,0,0,0,0,0,0
37020399.5012745422,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
50641672.1098774903,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
80180824.4577613712,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
32786848.1838240923,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
56604583.2469848609,<Other>,referral,(referral),2,0,0,0,0,0,0,0,0
4080246.8182959576,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
4183659.3054745759,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
29535385.0088734362,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
6124753.3685199942,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
58295221.7285416037,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
5617634.5410303461,shop.googlemerchandisestore.com,referral,(referral),0,0,1,0,0,0,0,0,0
34103097.5473848770,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
5985091607.1024225984,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
28690930.6609359610,<Other>,referral,(referral),2,0,2,0,0,0,0,0,0
5761347.0213411572,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
7001071.6450063895,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
3567310.2928806723,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
99925568.2363118577,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
1280072.1789917480,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
4691251557.4632424644,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
59472906.0303933232,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
25572532.7522595744,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
7322644.1959902770,shop.googlemerchandisestore.com,referral,(referral),1,0,0,0,0,0,0,0,0
4413348.2630594180,<Other>,referral,(referral),1,0,0,0,0,0,0,0,0
60630809.9881472653,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
3091778.7507855563,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
5205976299.6348564052,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
